lat,lon,CurbRamp,NoSidewalk,Obstacle,NoCurbRamp,SurfaceProblem,Crosswalk,Signal,Other
41.57590485,-87.66264343,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.5779686,-87.65538788,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.57515335,-87.66286469,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.57517624,-87.66300201,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.57600403,-87.66259003,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.57470703,-87.66246796,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.57792664,-87.65529633,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.5747261,-87.66286469,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.57691574,-87.66189575,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.57687759,-87.6619873,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.57600403,-87.66255951,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.57896423,-87.66536713,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.57732391,-87.66190338,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.57730484,-87.66352081,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.57891846,-87.66539764,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.5774231,-87.6618576,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.57893753,-87.66079712,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.57685089,-87.66195679,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.57631302,-87.66123199,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.57893753,-87.66048431,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.57693863,-87.66189575,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.57730865,-87.66372681,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.57897186,-87.6608429,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.57730865,-87.66192627,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.57670975,-87.66107941,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.57690811,-87.6608963,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.57889938,-87.66043854,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.5789566,-87.66052246,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.57658768,-87.66112518,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.57649994,-87.66127777,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.57872391,-87.65480042,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
41.57765198,-87.66152954,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
41.57754898,-87.6609726,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
41.57836533,-87.65494537,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
