lat,lon,CurbRamp,NoSidewalk,Obstacle,NoCurbRamp,SurfaceProblem,Crosswalk,Signal,Other
41.82371902,-87.62046814,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.81319046,-87.62149811,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.81484985,-87.62059784,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.81113815,-87.6164093,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.81469727,-87.6211853,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.81115341,-87.61631775,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.82020569,-87.61336517,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.82020569,-87.6135025,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.8148613,-87.61965942,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.81126404,-87.61642456,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.81485748,-87.61985016,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.81124878,-87.61630249,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.81483078,-87.61989594,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.81126404,-87.61633301,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.81481171,-87.6211853,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.81035995,-87.61628723,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.81840515,-87.62129211,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.81843185,-87.6216507,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.81847,-87.62134552,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.82256317,-87.61726379,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.82211304,-87.61784363,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.82253265,-87.61708069,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.82275772,-87.61716461,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.82275772,-87.61707306,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.82255173,-87.61685181,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.82273483,-87.61685181,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.82375336,-87.61710358,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.82377243,-87.61692047,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.82375717,-87.61682892,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.8237648,-87.61678314,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.82374954,-87.61688232,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.82014465,-87.61700439,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.82014847,-87.61710358,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.82017899,-87.61725616,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.8202095,-87.61717224,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.8201561,-87.61719513,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.82031631,-87.61700439,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.82031631,-87.61711121,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.82029724,-87.61720276,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.82014847,-87.61788177,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.82029724,-87.6178894,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.82017136,-87.6167984,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.82031631,-87.6167984,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.81822968,-87.62459564,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.81641769,-87.6264267,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.81838608,-87.62451172,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.81840515,-87.62462616,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.81829071,-87.62289429,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.81843185,-87.62295532,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.81840515,-87.62290192,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.81644821,-87.62310028,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.81649399,-87.6231842,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.81661987,-87.62310791,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.81663132,-87.62317657,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.81658173,-87.62456512,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.81660843,-87.62319183,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.81648254,-87.62287903,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.81661987,-87.62294769,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.81663513,-87.62136841,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.81712341,-87.62162018,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.81660461,-87.62284851,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.82203674,-87.61730957,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.82210159,-87.61730957,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.82256317,-87.61716461,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.8221283,-87.61790466,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.82374954,-87.61736298,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.82372665,-87.61908722,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.82348633,-87.6186676,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.8237381,-87.61732483,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.82373428,-87.61930847,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.82342911,-87.61840057,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.82372284,-87.61791992,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.82349396,-87.6184082,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.82377243,-87.6173172,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.82373047,-87.61845398,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.8237381,-87.61797333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.82372665,-87.61863708,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.82276535,-87.61724091,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.82208633,-87.61916351,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.82203293,-87.61836243,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.82209015,-87.61837006,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.82210541,-87.61841583,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.8220253,-87.61862946,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.82208252,-87.61862946,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.82209778,-87.61857605,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.82207489,-87.62011719,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.82201004,-87.62012482,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.82201385,-87.61975861,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.8237114,-87.61987305,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.82207108,-87.61976624,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.82029343,-87.61724091,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.82032013,-87.61668396,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.82030106,-87.61652374,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.8203392,-87.61657715,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.82015228,-87.61671448,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.82017899,-87.61659241,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.82018661,-87.61654663,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.82016373,-87.61833954,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
