lat,lon,Total_Crimes,Summer,Winter,Spring
41.88790013,-87.63702064,2,0,2,0
41.88790062,-87.63710143,3,1,0,2
41.88790216,-87.6369031,20,7,2,5
41.88790413,-87.62555495,9,1,4,2
41.88790417,-87.63678189,1,1,0,0
41.88791929,-87.62801905,18,3,10,3
41.88793435,-87.63995463,2,1,1,0
41.88795149,-87.63103385,4,1,0,1
41.88795498,-87.62802233,1,0,0,0
41.88795567,-87.62057809,2,1,0,0
41.88796617,-87.6347907,21,5,3,6
41.88796815,-87.62570114,1,0,0,1
41.88797062,-87.62166132,6,0,1,5
41.88798352,-87.62954245,1,0,0,0
41.88799541,-87.62567146,1,0,1,0
41.88800226,-87.62455861,1,1,0,0
41.88800273,-87.62954224,2,0,0,0
41.8880146,-87.63103316,9,2,4,2
41.88801844,-87.62052231,1,1,0,0
41.88802087,-87.63250945,1,0,0,1
41.88802267,-87.62564178,3,1,0,0
41.88804556,-87.62802501,1,0,0,0
41.88804596,-87.62541383,27,11,7,5
41.88805763,-87.62954531,5,1,0,1
41.8880584,-87.6364203,1,0,0,1
41.88807322,-87.62538415,1,1,0,0
41.88807684,-87.6295451,1,0,0,1
41.88807716,-87.62557875,1,1,0,0
41.8880785,-87.63250882,3,1,0,0
41.8880812,-87.62267739,1,0,1,0
41.88808123,-87.62802462,2,1,0,1
41.88808508,-87.61887994,2,2,0,0
41.88809903,-87.63996019,3,1,0,1
41.88810043,-87.63250491,1,0,0,0
41.88810442,-87.62554907,2,0,0,2
41.88813174,-87.62954817,6,1,1,3
41.88813442,-87.62551935,1,0,0,0
41.88815117,-87.63995963,3,1,0,1
41.88815331,-87.62591211,1,1,0,0
41.88816168,-87.62548967,3,1,0,0
41.88816513,-87.62293721,50,12,12,15
41.88817016,-87.62954775,8,2,0,5
41.88818162,-87.62338508,1,0,0,0
41.8881819,-87.62342915,2,0,0,1
41.88818665,-87.62955124,1,1,0,0
41.88818954,-87.62377796,24,8,8,4
41.88819102,-87.62802708,1,0,1,0
