lat,lon,Total_Crimes,Total_Arrests,ASSAULT,BATTERY,BURGLARY,Damage,Trespass,HOMICIDE,MOTOR VEHICLE THEFT,OFFENSE INVOLVING CHILDREN,OTHER NARCOTIC VIOLATION,OTHER OFFENSE,PUBLIC PEACE VIOLATION,ROBBERY,SEX OFFENSE,STALKING,THEFT,WEAPONS VIOLATION,Summer,Winter,Spring
41.99121057,-87.72886548,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41.99122546,-87.78944988,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
41.99122823,-87.70306449,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
41.99124509,-87.78205964,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
41.99125109,-87.75375001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
41.99128445,-87.70883179,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41.99129018,-87.70185366,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
41.99130133,-87.79214924,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
41.99135212,-87.70064283,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41.99141173,-87.77905288,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
41.99141613,-87.77542953,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
41.99142786,-87.77898285,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
41.99145747,-87.77886488,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
41.99147181,-87.78989656,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
41.99150344,-87.70671819,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
41.99151393,-87.7808986,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
41.99152831,-87.78274876,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
41.99155849,-87.7827485,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
41.99156494,-87.78237691,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
41.99159517,-87.70793855,15,1,6,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,4,4,4
41.99162033,-87.7055105,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
41.99163671,-87.75457785,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
41.99166049,-87.74254525,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
41.99169993,-87.7055134,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
41.99172883,-87.78623425,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41.99177703,-87.75247615,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41.99179205,-87.75490751,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
41.99179714,-87.70673003,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
41.99180697,-87.70551602,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
41.99181086,-87.74833016,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
41.99183375,-87.78063834,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
41.99184102,-87.78386801,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
41.99185232,-87.73665786,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41.99186025,-87.74832971,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
41.99187276,-87.74380134,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
41.99187674,-87.70673292,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
41.99188805,-87.75381044,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
41.99191737,-87.7296791,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
41.99191904,-87.73418895,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
41.99192452,-87.70794637,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
41.99193183,-87.72669569,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
41.99200425,-87.71710878,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
41.99201393,-87.73924603,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
41.99202651,-87.71004948,8,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,5,1,1
41.99205696,-87.710097,6,0,0,1,0,1,2,0,1,0,0,0,0,0,0,0,1,0,3,2,1
41.99207403,-87.73919397,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0
41.99214213,-87.78543247,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
41.9921528,-87.70552734,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41.99216415,-87.70259176,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
41.99217334,-87.7759563,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
41.99217486,-87.70104667,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41.99217503,-87.74068283,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
41.99217504,-87.70107978,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
41.99218113,-87.70019319,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41.99218317,-87.70006442,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
41.99218606,-87.77971933,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
41.99220131,-87.78864333,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
41.99223688,-87.71038218,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
41.99224282,-87.78871655,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
41.99225901,-87.71041507,4,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,2,0,1
