Crosswalk,CurbRamp,NoCurbRamp,NoSidewalk,Obstacle,Other,Signal,SurfaceProblem,lat,lon
0,2,0,0,0,0,0,0,41.771263,-87.6129
2,0,0,0,0,0,0,0,41.771263,-87.60947
2,0,0,0,0,0,0,0,41.771282,-87.60926
0,1,0,0,0,0,0,0,41.771286,-87.61167
1,0,0,0,0,0,0,0,41.77129,-87.608284
2,0,0,0,0,0,0,0,41.77129,-87.60707
2,0,0,0,0,0,0,0,41.771294,-87.60807
0,3,0,0,0,0,0,0,41.771297,-87.610664
0,2,0,0,0,0,0,0,41.7713,-87.61292
1,0,0,0,0,0,0,0,41.771305,-87.61176
0,1,0,0,0,0,0,0,41.771305,-87.61045
2,0,0,0,0,0,0,0,41.77131,-87.60689
0,1,0,0,0,0,0,0,41.77131,-87.611725
0,1,0,0,0,0,0,0,41.771317,-87.61114
0,2,0,0,0,0,0,0,41.771317,-87.61185
2,0,0,0,0,0,0,0,41.771317,-87.60589
0,1,0,0,0,0,0,0,41.77132,-87.61121
0,2,0,0,0,0,0,0,41.77132,-87.60946
0,2,0,0,0,0,0,0,41.771324,-87.61063
0,1,0,0,0,0,0,0,41.771324,-87.61051
1,0,0,0,0,0,0,0,41.771328,-87.61057
0,1,0,0,0,0,0,0,41.77133,-87.607056
2,0,0,0,0,0,0,0,41.771347,-87.60936
0,1,0,0,0,0,0,0,41.77135,-87.60807
0,1,0,0,0,0,0,0,41.77135,-87.60826
0,1,0,0,0,0,0,0,41.771355,-87.6093
0,1,0,0,0,0,0,0,41.771355,-87.60943
0,1,0,0,0,0,0,0,41.771366,-87.6081
0,1,0,0,0,0,0,0,41.771366,-87.60823
2,0,0,0,0,0,0,0,41.771366,-87.61301
0,1,0,0,0,0,0,0,41.77137,-87.606895
0,2,0,0,0,0,0,0,41.771374,-87.60588
0,1,0,0,0,0,0,0,41.771385,-87.60693
0,1,0,0,0,0,0,0,41.77139,-87.60582
2,0,0,0,0,0,0,0,41.77139,-87.60699
1,0,0,0,0,0,0,0,41.77139,-87.60817
0,1,0,0,0,0,0,0,41.77139,-87.60703
0,1,0,0,0,0,0,0,41.771397,-87.60562
1,0,0,0,0,0,0,0,41.7714,-87.60572
1,0,0,0,0,0,0,0,41.7714,-87.60574
0,1,0,0,0,0,0,0,41.771408,-87.613075
0,0,0,0,0,0,0,4,41.771416,-87.613495
0,0,0,0,0,0,0,4,41.771507,-87.613625
0,0,0,0,0,0,0,2,41.771545,-87.61331
0,0,0,0,0,0,0,3,41.771576,-87.612915
0,0,0,0,0,0,0,4,41.771614,-87.61379
0,0,0,0,2,0,0,0,41.77167,-87.61308
0,0,0,0,0,0,0,4,41.771683,-87.613884
0,0,0,0,0,0,0,2,41.771694,-87.61348
0,0,0,0,0,0,0,5,41.771767,-87.614
0,0,0,0,2,0,0,0,41.77183,-87.6131
0,0,0,0,0,0,0,4,41.771908,-87.61377
0,0,0,0,0,0,0,4,41.772026,-87.613914
0,0,0,0,0,0,0,2,41.772137,-87.614494
0,0,0,0,0,0,0,3,41.772137,-87.613106
0,0,0,0,0,0,0,4,41.772175,-87.61417
0,0,0,0,0,0,0,2,41.7722,-87.61459
0,0,0,0,0,0,0,3,41.772305,-87.614334
0,0,0,0,0,0,0,2,41.77232,-87.61475
0,0,0,0,0,0,0,3,41.77238,-87.61445
0,0,0,0,0,0,0,4,41.772392,-87.614845
0,0,0,0,3,0,0,0,41.77246,-87.61455
