lat,lon,CurbRamp,NoSidewalk,Obstacle,NoCurbRamp,SurfaceProblem,Crosswalk,Signal,Other
42.0136795,-87.74065399,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.01364136,-87.74154663,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.01361465,-87.74071503,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.01346588,-87.74131012,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.01353455,-87.73947906,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.01359177,-87.74192047,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.01535034,-87.74176025,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.01366043,-87.74201965,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.01328659,-87.73935699,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.01275253,-87.74078369,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.0136261,-87.74058533,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.01289368,-87.74099731,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.01075363,-87.74416351,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.01185608,-87.74188232,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.01068497,-87.74404907,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.01183701,-87.74214935,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.01167297,-87.74059296,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.01167297,-87.7407608,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.0116539,-87.7383194,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.01182938,-87.73832703,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.01166534,-87.73814392,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.01185989,-87.73694611,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.01185989,-87.73710632,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.01186371,-87.73959351,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.01189041,-87.73973083,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.01185989,-87.73920441,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.01166916,-87.73938751,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.0152626,-87.74372101,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.01531601,-87.74182892,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.014328,-87.7428894,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
