Crosswalk,CurbRamp,NoCurbRamp,NoSidewalk,Obstacle,Other,Signal,SurfaceProblem,lat,lon
1,0,0,0,0,0,0,0,41.891056,-87.660675
0,1,0,0,0,0,0,0,41.891056,-87.64883
0,1,0,0,0,0,0,0,41.89108,-87.66562
0,1,0,0,0,0,0,0,41.89108,-87.665405
1,0,0,0,0,0,0,0,41.891087,-87.64877
0,1,0,0,0,0,0,0,41.89109,-87.66559
1,0,0,0,0,0,0,0,41.89109,-87.66551
0,0,0,0,0,0,0,1,41.891094,-87.64849
0,1,0,0,0,0,0,0,41.891098,-87.64772
0,1,0,0,0,0,0,0,41.891098,-87.663994
0,1,0,0,0,0,0,0,41.8911,-87.64888
0,1,0,0,0,0,0,0,41.89111,-87.648705
0,1,0,0,0,0,0,0,41.89111,-87.665436
0,1,0,0,0,0,0,0,41.891117,-87.66216
0,1,0,0,0,0,0,0,41.89112,-87.663956
0,1,0,0,0,0,0,0,41.89112,-87.66235
0,1,0,0,0,0,0,0,41.891125,-87.64775
1,0,0,0,0,0,0,0,41.891125,-87.66389
0,1,0,0,0,0,0,0,41.89113,-87.66069
1,0,0,0,0,0,0,0,41.89113,-87.662254
0,1,0,0,0,0,0,0,41.891132,-87.662186
0,1,0,0,0,0,0,0,41.891136,-87.66089
0,1,0,0,0,0,0,0,41.891148,-87.660866
1,0,0,0,0,0,0,0,41.89115,-87.66078
0,1,0,0,0,0,0,0,41.89115,-87.66071
0,1,0,0,0,0,0,0,41.891155,-87.64869
1,0,0,0,0,0,0,0,41.89118,-87.64781
1,0,0,0,0,0,0,0,41.891182,-87.6489
0,0,0,0,0,0,0,4,41.891205,-87.66561
0,1,0,0,0,0,0,0,41.89125,-87.64871
0,1,0,0,0,0,0,0,41.891254,-87.647934
1,0,0,0,0,0,0,0,41.891254,-87.6488
0,1,0,0,0,0,0,0,41.891254,-87.64887
0,1,0,0,0,0,0,0,41.891254,-87.64876
0,1,0,0,0,0,0,0,41.89126,-87.648834
0,0,0,0,0,0,0,3,41.891293,-87.66542
0,1,0,0,0,0,0,0,41.891296,-87.647896
1,0,0,0,0,0,0,0,41.891315,-87.64766
1,0,0,0,0,0,0,0,41.89134,-87.64783
0,2,0,0,0,0,0,0,41.891415,-87.64771
0,0,0,0,2,0,0,0,41.891468,-87.67129
0,2,0,0,0,0,0,0,41.891476,-87.66089
0,0,0,0,0,0,0,3,41.891483,-87.66561
0,1,0,0,0,0,0,0,41.891598,-87.672134
0,0,0,0,4,0,0,0,41.891617,-87.67127
2,0,0,0,0,0,0,0,41.891632,-87.67215
0,0,0,0,3,0,0,0,41.891647,-87.67222
0,1,0,0,0,0,0,0,41.89167,-87.67213
0,0,0,0,0,0,0,2,41.89181,-87.648705
0,2,0,0,0,0,0,0,41.89183,-87.64872
1,0,0,0,0,0,0,0,41.891846,-87.64877
0,0,5,0,0,0,0,0,41.891903,-87.672
0,1,0,0,0,0,0,0,41.89191,-87.64885
2,0,0,0,0,0,0,0,41.891914,-87.648705
0,1,0,0,0,0,0,0,41.89201,-87.64877
1,0,0,0,0,0,0,0,41.892094,-87.648796
0,1,0,0,0,0,0,0,41.89213,-87.648865
2,0,0,0,0,0,0,0,41.892178,-87.64912
0,1,0,0,0,0,0,0,41.892178,-87.64925
0,1,0,0,0,0,0,0,41.892185,-87.64897
0,2,0,0,0,0,0,0,41.892197,-87.64774
0,1,0,0,0,0,0,0,41.892197,-87.6493
1,0,0,0,0,0,0,0,41.892227,-87.64903
1,0,0,0,0,0,0,0,41.89223,-87.64771
1,0,0,0,0,0,0,0,41.89225,-87.64938
0,2,0,0,0,0,0,0,41.89227,-87.64909
0,3,0,0,0,0,0,0,41.89228,-87.64775
0,2,0,0,0,0,0,0,41.89228,-87.64946
0,1,0,0,0,0,0,0,41.892292,-87.672005
1,0,0,0,0,0,0,0,41.892292,-87.67207
0,1,0,0,0,0,0,0,41.892296,-87.67208
0,1,0,0,0,0,0,0,41.8923,-87.67213
0,3,0,0,0,0,0,0,41.8923,-87.671295
1,0,0,0,0,0,0,0,41.8923,-87.67125
0,2,0,0,0,0,0,0,41.892307,-87.671196
0,1,0,0,0,0,0,0,41.89231,-87.67197
0,2,0,0,0,0,0,0,41.892315,-87.67053
0,0,0,5,0,0,0,0,41.89232,-87.66973
0,0,0,5,0,0,0,0,41.892323,-87.670044
0,1,0,0,0,0,0,0,41.892326,-87.66958
0,1,0,0,0,0,0,0,41.89233,-87.66967
2,0,0,0,0,0,0,0,41.89234,-87.67048
0,1,0,0,0,0,0,0,41.89234,-87.66954
0,1,0,0,0,0,0,0,41.89235,-87.669685
1,0,0,0,0,0,0,0,41.892353,-87.671974
1,0,0,0,0,0,0,0,41.892357,-87.672165
3,0,0,0,0,0,0,0,41.892384,-87.66556
0,1,0,0,0,0,0,0,41.892387,-87.66562
0,1,0,0,0,0,0,0,41.892387,-87.66555
1,0,0,0,0,0,0,0,41.892387,-87.66954
1,0,0,0,0,0,0,0,41.89239,-87.6697
0,1,0,0,0,0,0,0,41.892395,-87.665504
0,1,0,0,0,0,0,0,41.892406,-87.671974
0,1,0,0,0,0,0,0,41.892414,-87.67216
0,1,0,0,0,0,0,0,41.892414,-87.66564
0,1,0,0,0,0,0,0,41.89242,-87.66548
0,1,0,0,0,0,0,0,41.892433,-87.672134
0,2,0,0,0,0,0,0,41.892437,-87.6609
0,1,0,0,0,0,0,0,41.892437,-87.672
1,0,0,0,0,0,0,0,41.892437,-87.672066
0,2,0,0,0,0,0,0,41.89244,-87.660736
0,1,0,0,0,0,0,0,41.89244,-87.66971
0,1,0,0,0,0,0,0,41.892445,-87.66954
1,0,0,0,0,0,0,0,41.89245,-87.66082
0,1,0,0,0,0,0,0,41.89246,-87.66957
1,0,0,0,0,0,0,0,41.892464,-87.66565
0,1,0,0,0,0,0,0,41.892464,-87.66968
2,0,0,0,0,0,0,0,41.892467,-87.665535
1,0,0,0,0,0,0,0,41.89247,-87.669624
0,3,0,0,0,0,0,0,41.892494,-87.665504
0,1,0,0,0,0,0,0,41.892506,-87.66565
0,1,0,0,0,0,0,0,41.892536,-87.66562
0,2,0,0,0,0,0,0,41.8926,-87.66087
0,1,0,0,0,0,0,0,41.892723,-87.66956
1,0,0,0,0,0,0,0,41.892754,-87.66955
0,4,0,0,0,0,0,0,41.89279,-87.67218
0,1,0,0,0,0,0,0,41.89279,-87.669556
0,0,0,0,0,0,0,2,41.893124,-87.66972
0,2,0,0,0,0,0,0,41.893196,-87.67202
0,2,0,0,0,0,0,0,41.893196,-87.67215
0,2,0,0,0,0,0,0,41.89322,-87.67218
0,3,0,0,0,0,0,0,41.89322,-87.67199
1,0,0,0,0,0,0,0,41.89324,-87.672134
1,0,0,0,0,0,0,0,41.89324,-87.66965
0,1,0,0,0,0,0,0,41.89325,-87.66959
0,1,0,0,0,0,0,0,41.893253,-87.66969
2,0,0,0,0,0,0,0,41.893257,-87.67197
0,1,0,0,0,0,0,0,41.893265,-87.66956
0,1,0,0,0,0,0,0,41.89327,-87.66972
2,0,0,0,0,0,0,0,41.89331,-87.66973
0,2,0,0,0,0,0,0,41.893314,-87.67218
0,2,0,0,0,0,0,0,41.893314,-87.67199
1,0,0,0,0,0,0,0,41.89332,-87.66956
0,0,5,0,0,0,0,0,41.89333,-87.67112
0,2,0,0,0,0,0,0,41.893333,-87.67202
0,2,0,0,0,0,0,0,41.893337,-87.672165
1,0,0,0,0,0,0,0,41.89334,-87.67209
0,4,0,0,0,0,0,0,41.893345,-87.6711
0,1,0,0,0,0,0,0,41.89336,-87.66974
0,1,0,0,0,0,0,0,41.893364,-87.66957
0,3,0,0,0,0,0,0,41.893368,-87.66971
2,0,0,0,0,0,0,0,41.893368,-87.669655
0,2,0,0,0,0,0,0,41.893375,-87.66962
0,1,0,0,0,0,0,0,41.89338,-87.66075
0,0,0,0,0,0,0,3,41.893715,-87.67201
0,0,0,0,0,0,0,3,41.893776,-87.66957
0,1,0,0,0,0,0,0,41.893852,-87.6867
0,1,0,0,0,0,0,0,41.893864,-87.686935
1,0,0,0,0,0,0,0,41.89387,-87.68681
0,1,0,0,0,0,0,0,41.89387,-87.68666
0,1,0,0,0,0,0,0,41.893917,-87.68696
1,0,0,0,0,0,0,0,41.893932,-87.68664
1,0,0,0,0,0,0,0,41.893944,-87.68696
0,1,0,0,0,0,0,0,41.89396,-87.68665
0,1,0,0,0,0,0,0,41.893982,-87.68695
0,1,0,0,0,0,0,0,41.893997,-87.68665
0,1,0,0,0,0,0,0,41.893997,-87.686905
1,0,0,0,0,0,0,0,41.89401,-87.68683
1,0,0,0,0,0,0,0,41.894104,-87.67212
0,1,0,0,0,0,0,0,41.894115,-87.67206
0,1,0,0,0,0,0,0,41.894135,-87.67203
0,1,0,0,0,0,0,0,41.894135,-87.67221
1,0,0,0,0,0,0,0,41.894146,-87.66967
0,1,0,0,0,0,0,0,41.894154,-87.66962
0,1,0,0,0,0,0,0,41.894157,-87.66972
0,1,0,0,0,0,0,0,41.89417,-87.669754
0,1,0,0,0,0,0,0,41.89417,-87.669586
1,0,0,0,0,0,0,0,41.89418,-87.67203
1,0,0,0,0,0,0,0,41.894184,-87.67221
3,0,0,0,0,0,0,0,41.89419,-87.66717
0,1,0,0,0,0,0,0,41.894203,-87.66706
1,0,0,0,0,0,0,0,41.89422,-87.669754
0,1,0,0,0,0,0,0,41.894222,-87.67221
0,1,0,0,0,0,0,0,41.89423,-87.67202
1,0,0,0,0,0,0,0,41.89423,-87.6696
1,0,0,0,0,0,0,0,41.89424,-87.67211
0,1,0,0,0,0,0,0,41.89425,-87.67206
0,1,0,0,0,0,0,0,41.89425,-87.67217
0,1,0,0,0,0,0,0,41.89427,-87.66975
0,1,0,0,0,0,0,0,41.894276,-87.669586
1,0,0,0,0,0,0,0,41.894283,-87.66967
0,1,0,0,0,0,0,0,41.894287,-87.66972
0,1,0,0,0,0,0,0,41.894295,-87.669624
0,1,0,0,0,0,0,0,41.894333,-87.6674
4,0,0,0,0,0,0,0,41.894337,-87.66722
